key,locale,package,origin_text,text
core::web.awaiting,en,metafox/core,Awaiting,Awaiting
core::web.awaiting_reply,en,metafox/core,Awaiting Reply,Awaiting Reply
core::web.base_on_your_location,en,metafox/core,Base on your location,Base on your location
core::web.blocked,en,metafox/core,Blocked,Blocked
core::web.blocked_users,en,metafox/core,Blocked Users,Blocked Users
core::web.block_name,en,metafox/core,Block's Name,Block's Name
core::web.blog,en,metafox/core,Blog,Blog
core::web.browse_map_to_explore_items_near_you,en,metafox/core,Browse map to explore items near you,Browse map to explore items near you
core::web.buy_now,en,metafox/core,Buy Now,Buy Now
core::web.by,en,metafox/core,By,By
core::web.cancel,en,metafox/core,Cancel,Cancel
core::web.cancel_account,en,metafox/core,Cancel Account,Cancel Account
core::web.cancel_request,en,metafox/core,Cancel Request,Cancel Request
core::web.cancel_subscription,en,metafox/core,Cancel Subscription,Cancel Subscription
core::web.can_not_get_access_token,en,metafox/core,Cannot get access token.,Cannot get access token.
core::web.can_not_login,en,metafox/core,Cannot login.,Cannot login.
core::web.cannot_play_back_the_file,en,metafox/core,Cannot play back the file. The format is not supported,Cannot play back the file. The format is not supported
core::web.can_you_tell_us_why,en,metafox/core,Can you tell us why?,Can you tell us why?
core::web.caption,en,metafox/core,Caption,Caption
core::web.categories,en,metafox/core,Categories,Categories
core::web.categories_colon,en,metafox/core,Categories:,Categories:
core::web.category_colon,en,metafox/core,Category:,Category:
core::web.category_colon_value,en,metafox/core,Category: {value},Category: {value}
core::web.change,en,metafox/core,Change,Change
core::web.change_address,en,metafox/core,Change Address,Change Address
core::web.change_language_to_language_name,en,metafox/core,Change language to {language_name}?,Change language to {language_name}?
core::web.change_layout_grid,en,metafox/core,Change Layout Grid,Change Layout Grid
core::web.change_layout_template,en,metafox/core,Change Layout Template,Change Layout Template
core::web.change_name_group,en,metafox/core,Change name group,Change name group
core::web.change_password,en,metafox/core,Change Password,Change Password
core::web.change_photo,en,metafox/core,Change Photo,Change Photo
core::web.changes_you_made_may_not_be_saved,en,metafox/core,Changes you made may not be saved.,Changes you made may not be saved.
core::web.change_videos_and_photos,en,metafox/core,Videos and Photos,Videos and Photos
core::web.channel,en,metafox/core,Channel,Channel
core::web.character_user_name,en,metafox/core,@{value},@{value}
core::web.chart_type,en,metafox/core,Type,Type
core::web.chat,en,metafox/core,Chat,Chat
core::web.checkbox,en,metafox/core,Checkbox,Checkbox
core::web.check_for_updates,en,metafox/core,Check for Updates,Check for Updates
core::web.check_in,en,metafox/core,Check-in,Check-in
core::web.checkin,en,metafox/core,Check-in,Check-in
core::web.choose_a_background,en,metafox/core,Choose a background,Choose a background
core::web.choose_cover_photo,en,metafox/core,Choose Cover Photo,Choose Cover Photo
core::web.choose_from_library,en,metafox/core,Choose from Library,Choose from Library
core::web.choose_from_photos,en,metafox/core,Choose From Photos,Choose From Photos
core::web.choose_multiple_photos,en,metafox/core,Choose multiple photos,Choose multiple photos
core::web.choose_your_preferred_theme,en,metafox/core,Choose Your Preferred Theme Variant,Choose Your Preferred Theme Variant
core::web.clear,en,metafox/core,Clear,Clear
core::web.clear_cache,en,metafox/core,Clear Cache,Clear Cache
core::web.close,en,metafox/core,Close,Close
core::web.closed,en,metafox/core,Closed,Closed
core::web.code_generator,en,metafox/core,Code Generator,Code Generator
core::web.collapse_menu,en,metafox/core,Collapse Menu,Collapse Menu
core::web.comment,en,metafox/core,Comment,Comment
core::web.comments,en,metafox/core,Comments,Comments
core::web.community,en,metafox/core,Community,Community
core::web.config_not_found,en,metafox/core,Config cannot be found.,Config cannot be found.
core::web.confirm,en,metafox/core,Confirm,Confirm
core::web.contact_seller,en,metafox/core,Contact Seller,Contact Seller
core::web.content_is_not_available,en,metafox/core,Content isn't available,Content isn't available
core::web.content_no_longer_available,en,metafox/core,Content is no longer available.,Content is no longer available.
core::web.content_not_available_content,en,metafox/core,"When this happens, it's usually because the owner only shared it with a small group of people or changed who can see it, or it's been deleted.","When this happens, it's usually because the owner only shared it with a small group of people or changed who can see it, or it's been deleted."
core::web.content_not_available_title,en,metafox/core,This content isn't available at the moment,This content isn't available at the moment
core::web.content_not_found,en,metafox/core,Content cannot be found.,Content cannot be found.
core::web.content_private,en,metafox/core,Content is private.,Content is private.
core::web.content_private_description,en,metafox/core,You cannot see this content due to its privacy.,You cannot see this content due to its privacy.
core::web.contents_from_this_app_will_be_public_visible_after_admins_approve_it,en,metafox/core,Contents from this {value} will be public visible after admins approve it.,Contents from this {value} will be public visible after admins approve it.
core::web.cookie_gdpr_message,en,metafox/core,"We use cookies to personalize your experience, show ads based on your interests, and measure and analytics. By using our website and services, you agree to our use of cookies as described in our","We use cookies to personalize your experience, show ads based on your interests, and measure and analytics. By using our website and services, you agree to our use of cookies as described in our"
core::web.cookie_gdpr_title,en,metafox/core,We respect your privacy,We respect your privacy
core::web.cookie_policy,en,metafox/core,Cookie Policy,Cookie Policy
core::web.copied_to_clipboard,en,metafox/core,Copied to clipboard!,Copied to clipboard!
core::web.copy,en,metafox/core,Copy,Copy
core::web.correct,en,metafox/core,correct,correct
core::web.correct_answer,en,metafox/core,Correct answer,Correct answer
core::web.correct_total_correct_total_question,en,metafox/core,Correct {total_correct}/{total_question},Correct {total_correct}/{total_question}
core::web.correct_total_correct_total_question_percent_correct,en,metafox/core,Correct {total_correct}/{total_question} ({percent_correct}%),Correct {total_correct}/{total_question} ({percent_correct}%)
core::web.could_not_found_screen_configuration,en,metafox/core,Could not find screen configuration %s,Could not find screen configuration %s
core::web.could_not_found_user,en,metafox/core,Could not find the user.,Could not find the user.
core::web.could_not_select_more_than_limit_files,en,metafox/core,Could not select more than {limit} files.,Could not select more than {limit} files.
core::web.could_not_select_more_than_limit_photos,en,metafox/core,Could not select more than {limit} photos.,Could not select more than {limit} photos.
core::web.create,en,metafox/core,Create,Create
core::web.create_account,en,metafox/core,Create Account,Create Account
core::web.create_album,en,metafox/core,Create album,Create album
core::web.created_at,en,metafox/core,Created at <date>{date}</date>,Created at <date>{date}</date>
core::web.created_by,en,metafox/core,Created by {name},Created by {name}
core::web.created_by_,en,metafox/core,Created by,Created by
core::web.create_friends_list,en,metafox/core,Create Friends List,Create Friends List
core::web.create_new_custom_list,en,metafox/core,Create new custom list,Create new custom list
core::web.create_post,en,metafox/core,Create Post,Create Post
core::web.current_admins,en,metafox/core,Current Admins,Current Admins
core::web.current_location,en,metafox/core,Current location,Current location
core::web.current_plan,en,metafox/core,Current Plan,Current Plan
core::web.custom,en,metafox/core,Custom,Custom
core::web.custom_lists,en,metafox/core,Custom lists,Custom lists
core::web.custom_privacy,en,metafox/core,Custom Privacy,Custom Privacy
core::web.dark_mode,en,metafox/core,Dark Mode,Dark Mode
core::web.deactivate,en,metafox/core,Deactivate,Deactivate
core::web.default,en,metafox/core,default,default
core::web.default_menus,en,metafox/core,Default Menus,Default Menus
core::web.default_ucfirst,en,metafox/core,Default,Default
core::web.delete,en,metafox/core,Delete,Delete
core::web.deleted_user,en,metafox/core,Deleted User,Deleted User
core::web.delete_question,en,metafox/core,Delete Question,Delete Question
core::web.deselect_all,en,metafox/core,Deselect All,Deselect All
core::web.deselect_value,en,metafox/core,Deselect ({value}),Deselect ({value})
core::web.discard_change,en,metafox/core,Discard change,Discard change
core::web.display_over_other_apps_is_disabled,en,metafox/core,Displaying over other apps is disabled.,Displaying over other apps is disabled.
core::web.done,en,metafox/core,Done,Done
core::web.done_tagging,en,metafox/core,Done Tagging,Done Tagging
core::web.don_t_have_an_account,en,metafox/core,Don't have an account?,Don't have an account?
core::web.don_t_have_an_account_sign_up,en,metafox/core,<a>Don't have an account? <b>SIGN UP</b></a>,<a>Don't have an account? <b>SIGN UP</b></a>
core::web.download,en,metafox/core,Download,Download
core::web.do_you_want_to_cancel,en,metafox/core,Do you want to cancel?,Do you want to cancel?
core::web.draft,en,metafox/core,Draft,Draft
core::web.drag_to_reposition_your_cover,en,metafox/core,Drag to reposition your photo,Drag to reposition your photo
core::web.edit,en,metafox/core,Edit,Edit
core::web.edit_account,en,metafox/core,Edit Account,Edit Account
core::web.edit_all,en,metafox/core,Edit All,Edit All
core::web.edit_avatar,en,metafox/core,Edit Avatar,Edit Avatar
core::web.edit_block_name,en,metafox/core,Edit Block {name},Edit Block {name}
core::web.edit_comment,en,metafox/core,Edit Comment,Edit Comment
core::web.edit_cover,en,metafox/core,Edit Cover,Edit Cover
core::web.edit_cover_photo,en,metafox/core,Edit Cover,Edit Cover
core::web.edit_friend_list,en,metafox/core,Edit friend list,Edit friend list
core::web.edit_group,en,metafox/core,Edit Group,Edit Group
core::web.edit_group_detail,en,metafox/core,Edit Group Detail,Edit Group Detail
core::web.edit_group_info,en,metafox/core,Edit Group Info,Edit Group Info
core::web.edit_history,en,metafox/core,Edit History,Edit History
core::web.edit_info,en,metafox/core,Edit Info,Edit Info
core::web.editing,en,metafox/core,Editing,Editing
core::web.edit_layout_location,en,metafox/core,Edit Column,Edit Column
core::web.edit_page,en,metafox/core,Edit Page,Edit Page
core::web.edit_page_detail,en,metafox/core,Edit Page Detail,Edit Page Detail
core::web.edit_page_info,en,metafox/core,Edit Page Info,Edit Page Info
core::web.edit_permissions,en,metafox/core,Edit Permissions,Edit Permissions
core::web.edit_profile_info,en,metafox/core,Edit Profile Info,Edit Profile Info
core::web.edit_profile_picture,en,metafox/core,Edit Profile Picture,Edit Profile Picture
core::web.edit_question,en,metafox/core,Edit Question,Edit Question
core::web.edit_status,en,metafox/core,Edit Status,Edit Status
core::web.e_g_number,en,metafox/core,e.g +1 999 33 4455,e.g +1 999 33 4455
core::web.email,en,metafox/core,Email,Email
core::web.email_notifications,en,metafox/core,Email Notifications,Email Notifications
core::web.email_username,en,metafox/core,Email/Username,Email/Username
core::web.embed_link,en,metafox/core,Embed Link,Embed Link
core::web.enable,en,metafox/core,Enable,Enable
core::web.end,en,metafox/core,End,End
core::web.end_at,en,metafox/core,Ended at,Ended at
core::web.end_colon,en,metafox/core,End:,End:
core::web.ended,en,metafox/core,Ended,Ended
core::web.enter_answer,en,metafox/core,Enter answer,Enter answer
core::web.enter_a_verification_code,en,metafox/core,Enter a verification code,Enter a verification code
core::web.enter_email_address,en,metafox/core,Enter email address,Enter email address
core::web.enter_email_or_username,en,metafox/core,Enter Email or Username,Enter Email or Username
core::web.enter_password,en,metafox/core,Enter Password,Enter Password
core::web.enter_question,en,metafox/core,Enter question,Enter question
core::web.enter_site_address,en,metafox/core,Enter site address,Enter site address
core::web.enter_username,en,metafox/core,Enter Username,Enter Username
core::web.enter_your_code,en,metafox/core,Enter your code...,Enter your code...
core::web.enter_your_phone,en,metafox/core,Enter Your Phone Number,Enter Your Phone Number
core::web.error_detect_location,en,metafox/core,Detecting your location got errors.,Detecting your location got errors.
core::web.event,en,metafox/core,Event,Event
core::web.event_is_pending_approval,en,metafox/core,The event is pending for approval.,The event is pending for approval.
core::web.event_start_date,en,metafox/core,start {date},start {date}
core::web.everyone,en,metafox/core,Everyone,Everyone
core::web.exit_full_screen,en,metafox/core,Exit full-screen mode,Exit full-screen mode
core::web.expand_menu,en,metafox/core,Expand Menu,Expand Menu
core::web.expire_after,en,metafox/core,Expire after,Expire after
core::web.expired,en,metafox/core,Expired,Expired
core::web.expires_on_time,en,metafox/core,Expires on <b>{time}</b>,Expires on <b>{time}</b>
core::web.explore,en,metafox/core,Explore,Explore
core::web.export_layout_configuration,en,metafox/core,Export Configuration,Export Configuration
core::web.favourite,en,metafox/core,Favourite,Favourite
core::web.fb_continue,en,metafox/core,Continue,Continue
core::web.featured,en,metafox/core,Featured,Featured
core::web.feed,en,metafox/core,Feed,Feed
core::web.feed_hidden,en,metafox/core,Feed Hidden,Feed Hidden
core::web.feeds,en,metafox/core,Feeds,Feeds
core::web.file_accept_type_fail,en,metafox/core,Cannot upload this file type.,Cannot upload this file type.
core::web.file_no_preview,en,metafox/core,File no preview.,File no preview.
core::web.filter,en,metafox/core,Filter,Filter
core::web.filter_by,en,metafox/core,Filter By,Filter By
core::web.filters,en,metafox/core,Filters,Filters
core::web.find_friends,en,metafox/core,Find Friends,Find Friends
core::web.find_more_friends,en,metafox/core,Find more friends,Find more friends
core::web.finished,en,metafox/core,Finished,Finished
core::web.flip_horizontal,en,metafox/core,Flip Horizontally,Flip Horizontally
core::web.flip_vertical,en,metafox/core,Flip Vertically,Flip Vertically
core::web.forgot_password,en,metafox/core,Forgot Password?,Forgot Password?
core::web.for_metaFox,en,metafox/core,For MetaFox,For MetaFox
core::web.for_metaFox_mobile,en,metafox/core,For MetaFox Mobile,For MetaFox Mobile
core::web.free,en,metafox/core,Free,Free
core::web.friend,en,metafox/core,Friend,Friend
core::web.friend_list,en,metafox/core,Friend List,Friend List
core::web.friend_requests,en,metafox/core,Friend Requests,Friend Requests
core::web.friends,en,metafox/core,Friends,Friends
core::web.friends_of_friends,en,metafox/core,Friends of Friends,Friends of Friends
core::web.friends_total,en,metafox/core,Friends ({total}),Friends ({total})
core::web.from,en,metafox/core,From,From
core::web.from_upper,en,metafox/core,FROM,FROM
core::web.gateway_timeout_message,en,metafox/core,"Try:
  - Checking the network cables, modem, and router.
  - Reconnecting to Wi-Fi.","Try:
  - Checking the network cables, modem, and router.
  - Reconnecting to Wi-Fi."
core::web.generate_invite_link,en,metafox/core,Generate Invite Link,Generate Invite Link
core::web.genre,en,metafox/core,Genre,Genre
core::web.genre_colon_value,en,metafox/core,Genre: {value},Genre: {value}
core::web.genres_colon,en,metafox/core,Genres:,Genres:
core::web.genres_colon_value,en,metafox/core,Genres: {value},Genres: {value}
core::web.get_token,en,metafox/core,Get Token,Get Token
core::web.group,en,metafox/core,Group,Group
core::web.group_name,en,metafox/core,Group Name,Group Name
core::web.group_privacy,en,metafox/core,Group Privacy,Group Privacy
core::web.groups,en,metafox/core,Groups,Groups
core::web.groups_member,en,metafox/core,member,member
core::web.groups_members,en,metafox/core,members,members
core::web.guests,en,metafox/core,Guests,Guests
core::web.help,en,metafox/core,Help,Help
core::web.hide,en,metafox/core,Hide,Hide
core::web.hide_all_from_full_name_regular,en,metafox/core,Hide all from {full_name},Hide all from {full_name}
core::web.hide_thread,en,metafox/core,Hide this conversation,Hide this conversation
core::web.home,en,metafox/core,Home,Home
core::web.hyphen_with_empty,en,metafox/core,- with,- with
core::web.hyphen-with_tagged_friend,en,metafox/core,â€” with <user0>user0</user0>,â€” with <user0>user0</user0>
core::web.hyphen-with_tagged_friend_and_others,en,metafox/core,"â€” with <user0>user0</user0> and <others>{value, plural, =1{# other} other{# others}}</others>","â€” with <user0>user0</user0> and <others>{value, plural, =1{# other} other{# others}}</others>"
core::web.hyphen-with_tagged_friend_and_user,en,metafox/core,â€” with <user0>user0</user0> and <user1>user1</user1>,â€” with <user0>user0</user0> and <user1>user1</user1>
core::web.if_you_leave_form_no_save_changed,en,metafox/core,"If you leave now, your changes won't be saved.","If you leave now, your changes won't be saved."
core::web.in_app_notifications,en,metafox/core,In-app Notifications,In-app Notifications
core::web.incorrect,en,metafox/core,incorrect,incorrect
core::web.in_dept_statistics,en,metafox/core,In-Depth Statistics,In-Depth Statistics
core::web.info,en,metafox/core,Info,Info
core::web.information,en,metafox/core,Information,Information
core::web.insert_an_emoji,en,metafox/core,Insert an emoji,Insert an emoji
core::web.installable_version,en,metafox/core,Installable Version,Installable Version
core::web.interested,en,metafox/core,Interested,Interested
core::web.invalid_email_address,en,metafox/core,Invalid email address.,Invalid email address.
core::web.invalid_link_url,en,metafox/core,Invalid link URL,Invalid link URL
core::web.invalid_password,en,metafox/core,Invalid Password.,Invalid Password.
core::web.invalid_server_response,en,metafox/core,Invalid server response.,Invalid server response.
core::web.invalid_site_address,en,metafox/core,Invalid Site Address.,Invalid Site Address.
core::web.invalid_site_url,en,metafox/core,Invalid site URL,Invalid site URL
core::web.invalid_upload_video_item,en,metafox/core,Invalid uploaded video,Invalid uploaded video
core::web.invalid_username,en,metafox/core,Invalid username.,Invalid username.
core::web.invalid_video_url,en,metafox/core,Invalid video URL,Invalid video URL
core::web.invariant_violation,en,metafox/core,Invariant Violation,Invariant Violation
core::web.invisible_mode,en,metafox/core,Invisible Mode,Invisible Mode
core::web.invisible_mode_note,en,metafox/core,"Invisible mode allows you to browse the site without appearing on any ""Online"" lists.","Invisible mode allows you to browse the site without appearing on any ""Online"" lists."
core::web.invite,en,metafox/core,Invite,Invite
core::web.invited,en,metafox/core,Invited,Invited
core::web.invite_friends,en,metafox/core,Invite Friends,Invite Friends
core::web.invites,en,metafox/core,Invites,Invites
core::web.invoice_id,en,metafox/core,ID,ID
core::web.ios_location_enable_permission,en,metafox/core,"To locate your location, enable permission for the application in Settings > {app_name} > Location","To locate your location, enable permission for the application in Settings > {app_name} > Location"
core::web.is_at_tagged_place,en,metafox/core,is at <bold>{name}</bold>,is at <bold>{name}</bold>
core::web.is_now_friend_with,en,metafox/core,is now friends with <friend_add>friend_add</friend_add>,is now friends with <friend_add>friend_add</friend_add>
core::web._is_pending_approval,en,metafox/core,is pending for approval,is pending for approval
core::web.is_with,en,metafox/core,is with,is with
core::web.is_with_and_others,en,metafox/core,"is with <bold>{with}</bold> and <bold>{ value, plural, =1{# other} other{# others} }</bold>","is with <bold>{with}</bold> and <bold>{ value, plural, =1{# other} other{# others} }</bold>"
core::web.is_with_tagged_friend,en,metafox/core,is with <user0>user0</user0>,is with <user0>user0</user0>
core::web.is_with_tagged_friend_and_others,en,metafox/core,"is with <user0>user0</user0> and <others>{value, plural, =1{# other} other{# others}}</others>","is with <user0>user0</user0> and <others>{value, plural, =1{# other} other{# others}}</others>"
core::web.is_with_tagged_friend_and_user,en,metafox/core,is with <user0>user0</user0> and <user1>user1</user1>,is with <user0>user0</user0> and <user1>user1</user1>
core::web.is_with_user_and_others,en,metafox/core,"is with <bold>{with}</bold> and <bold>{ value, plural, =1{# other} other{# others} }</bold>","is with <bold>{with}</bold> and <bold>{ value, plural, =1{# other} other{# others} }</bold>"
core::web.is_your_friend_from_now,en,metafox/core,is your friend from now,is your friend from now
core::web.item,en,metafox/core,Item,Item
core::web.item_is_pending_approval,en,metafox/core,Item is pending for approval.,Item is pending for approval.
core::web.items,en,metafox/core,Items,Items
core::web.items_privacy,en,metafox/core,Items Privacy,Items Privacy
core::web.its_quiet_here,en,metafox/core,It's quiet here,It's quiet here
core::web.i_understand,en,metafox/core,I Understand,I Understand
core::web.join,en,metafox/core,Join,Join
core::web.joined,en,metafox/core,Joined,Joined
core::web.joined_at,en,metafox/core,Joined at <joined_date>joined_date</joined_date>,Joined at <joined_date>joined_date</joined_date>
core::web.just_use,en,metafox/core,Just use,Just use
core::web.keep,en,metafox/core,Keep,Keep
core::web.keep_editing,en,metafox/core,Keep Editing,Keep Editing
core::web.language,en,metafox/core,Language,Language
core::web.last_activity_on_time,en,metafox/core,Last activity on <datetime>last_activity</datetime>,Last activity on <datetime>last_activity</datetime>
core::web.last_update_on_time,en,metafox/core,Last update on {time},Last update on {time}
core::web.latest,en,metafox/core,Latest,Latest
core::web.latest_acp_logins,en,metafox/core,Latest ACP Logins,Latest ACP Logins
core::web.latest_activities,en,metafox/core,Latest Activities,Latest Activities
core::web.latest_photos,en,metafox/core,Latest photos,Latest photos
core::web.leave,en,metafox/core,Leave,Leave
core::web.leave_,en,metafox/core,Leave?,Leave?
core::web.leave_page,en,metafox/core,Leave Page?,Leave Page?
core::web.less,en,metafox/core,Less,Less
core::web.license_status,en,metafox/core,License Status,License Status
core::web.like,en,metafox/core,Like,Like
core::web.liked,en,metafox/core,Liked,Liked
core::web.likes,en,metafox/core,Likes,Likes
core::web.link_copied_to_clipboard,en,metafox/core,Link copied to clipboard,Link copied to clipboard
core::web.link_title,en,metafox/core,Link Title,Link Title
core::web.link_url,en,metafox/core,Link URL,Link URL
core::web.listing,en,metafox/core,Listing,Listing
core::web.listing_expired_and_not_available_main_section,en,metafox/core,This listing has expired and is no longer available from the main marketplace section.,This listing has expired and is no longer available from the main marketplace section.
core::web.listing_is_pending_approval,en,metafox/core,Listing is pending for approval.,Listing is pending for approval.
core::web.list_name,en,metafox/core,List Name,List Name
core::web.live_demo,en,metafox/core,Live Demo,Live Demo
core::web.loading_dots,en,metafox/core,Loading ...,Loading ...
core::web.load_more,en,metafox/core,Load more,Load more
core::web.location,en,metafox/core,Location,Location
core::web.location_colon,en,metafox/core,Location:,Location:
core::web.location_service_is_disabled,en,metafox/core,Location service is disabled,Location service is disabled
core::web.logged_in_failure,en,metafox/core,Logged in failure.,Logged in failure.
core::web.log_in,en,metafox/core,Log in,Log in
core::web.log_in_with_facebook,en,metafox/core,Log in with Facebook,Log in with Facebook
core::web.logout,en,metafox/core,Logout,Logout
core::web.manage,en,metafox/core,Manage,Manage
core::web.manage_admins,en,metafox/core,Manage Admins,Manage Admins
core::web.manage_group,en,metafox/core,Manage Group,Manage Group
core::web.manage_hidden,en,metafox/core,Manage Hidden,Manage Hidden
core::web.manage_lists,en,metafox/core,Manage Lists,Manage Lists
core::web.manage_page,en,metafox/core,Manage Pages,Manage Pages
core::web.manage_photos,en,metafox/core,Manage Photos,Manage Photos
core::web.map,en,metafox/core,Map,Map
core::web.map_direction,en,metafox/core,Map Direction,Map Direction
core::web.mark_all_as_read,en,metafox/core,Mark All as Read,Mark All as Read
core::web.marketplace,en,metafox/core,Marketplace,Marketplace
core::web.maxfile_upload,en,metafox/core,The maximum number of uploaded files is {maxFiles}.,The maximum number of uploaded files is {maxFiles}.
core::web.maybe,en,metafox/core,Maybe,Maybe
core::web.maybe_attending,en,metafox/core,Maybe Attending,Maybe Attending
core::web.media,en,metafox/core,Media,Media
core::web.member,en,metafox/core,Member,Member
core::web.member_results,en,metafox/core,Member results,Member results
core::web.member_results_total,en,metafox/core,Member Results ({total}),Member Results ({total})
core::web.members,en,metafox/core,Members,Members
core::web.membership,en,metafox/core,Membership,Membership
core::web.menu,en,metafox/core,Menu,Menu
core::web.menu_settings,en,metafox/core,Menu Settings,Menu Settings
core::web.message_archive_chat,en,metafox/core,All members will not be able to write any messages in this conversation once archived chat. Are you sure?,All members will not be able to write any messages in this conversation once archived chat. Are you sure?
core::web.message_blur_placeholder,en,metafox/core,Aa,Aa
core::web.messages,en,metafox/core,Messages,Messages
core::web.message_unarchive_chat,en,metafox/core,Are you sure you want to unarchive this discussion?,Are you sure you want to unarchive this discussion?
core::web.minimize,en,metafox/core,Minimize,Minimize
core::web.missed_a_call,en,metafox/core,You missed a call,You missed a call
core::web.missing_user_id,en,metafox/core,Mising User ID,Mising User ID
core::web.mobile_membership_pending_purchase_notice,en,metafox/core,"Your membership purchase is still pending. If you have paid for it, you don't need to pay again. Please wait for the transaction update and try to login later.","Your membership purchase is still pending. If you have paid for it, you don't need to pay again. Please wait for the transaction update and try to login later."
core::web.mobile_photo_mature_warning,en,metafox/core,"This photo may contain nudity, sexual themes, violence/gore, strong language or ideologically sensitive subject matter. Would you like to view it?","This photo may contain nudity, sexual themes, violence/gore, strong language or ideologically sensitive subject matter. Would you like to view it?"
core::web.mobile_provide_an_email_with_account,en,metafox/core,Provide an email address of your account,Provide an email address of your account
core::web.mobile_view_attachment,en,metafox/core,View Attachment,View Attachment
core::web.mobile_you_wont_see_posts_from_full_name,en,metafox/core,You won't see posts from {full_name} in News Feed.,You won't see posts from {full_name} in News Feed.
core::web.mobile_you_wont_see_this_post_in_news_feed,en,metafox/core,You won't see this post in News Feed.,You won't see this post in News Feed.
core::web.more,en,metafox/core,More,More
core::web.more_information,en,metafox/core,More Information,More Information
core::web.more_options,en,metafox/core,More Options,More Options
core::web.more_user,en,metafox/core,More user,More user
core::web.multiple_choice,en,metafox/core,Multiple Choice,Multiple Choice
core::web.music,en,metafox/core,Music,Music
core::web.music_album,en,metafox/core,Music Album,Music Album
core::web.music_playlist,en,metafox/core,Music Playlists,Music Playlists
core::web.music_song,en,metafox/core,Music Song,Music Song
core::web.mutual_friends,en,metafox/core,Mutual Friends,Mutual Friends
core::web.mutual_total,en,metafox/core,mutual {total},mutual {total}
core::web.my_albums,en,metafox/core,My Albums,My Albums
core::web.my_pending_posts,en,metafox/core,My Pending Posts,My Pending Posts
core::web.my_stickers,en,metafox/core,My Stickers,My Stickers
core::web.my_subscription,en,metafox/core,My Subscription,My Subscription
core::web.name,en,metafox/core,Name,Name
core::web.name_of_new_list,en,metafox/core,Name of new list,Name of new list
core::web.near_me,en,metafox/core,Near Me,Near Me
core::web.network_error,en,metafox/core,Network Error!,Network Error!
core::web.network_is_not_connected,en,metafox/core,Network is not connected,Network is not connected
core::web.network_unreachable,en,metafox/core,Network is unreachable.,Network is unreachable.
core::web.new_conversation,en,metafox/core,New Conversation,New Conversation
core::web.news_and_updates,en,metafox/core,News & Updates,News & Updates
core::web.next,en,metafox/core,Next,Next
core::web.next__value_tracks,en,metafox/core,NEXT ( {value} TRACKS ),NEXT ( {value} TRACKS )
core::web.no,en,metafox/core,No,No
core::web.no_admins_found,en,metafox/core,No admins are found.,No admins are found.
core::web.no_blocked_members,en,metafox/core,No blocked members.,No blocked members.
core::web.no_categories_added,en,metafox/core,No categories have been added.,No categories have been added.
core::web.no_content,en,metafox/core,No Content,No Content
core::web.no_conversations,en,metafox/core,No conversations,No conversations
core::web.no_declined_post,en,metafox/core,No declined posts.,No declined posts.
core::web.no_gateways_found,en,metafox/core,No gateways are found.,No gateways are found.
core::web.no_group_found,en,metafox/core,No groups are found.,No groups are found.
core::web.no_internet_connection,en,metafox/core,No internet connection.,No internet connection.
core::web.no_items_found,en,metafox/core,No items are found.,No items are found.
core::web.no_medias,en,metafox/core,No medias,No medias
core::web.no_medias_subtext,en,metafox/core,Photos and Videos that you exchange with {name} will appear here,Photos and Videos that you exchange with {name} will appear here
core::web.no_messages,en,metafox/core,No messages.,No messages.
core::web.no_notifications,en,metafox/core,No notifications.,No notifications.
core::web.no_one,en,metafox/core,No One,No One
core::web.no_online_friends,en,metafox/core,No online friends,No online friends
core::web.no_options,en,metafox/core,No options,No options
core::web.no_page_found,en,metafox/core,No pages are found.,No pages are found.
core::web.no_pending_post,en,metafox/core,No pending posts.,No pending posts.
core::web.no_pending_requests,en,metafox/core,No pending requests.,No pending requests.
core::web.no_people_found,en,metafox/core,No people are found.,No people are found.
core::web.no_post_found_title,en,metafox/core,No content is found.,No content is found.
core::web.no_published_post,en,metafox/core,No published posts.,No published posts.
core::web.no_recent_searches,en,metafox/core,No recent search.,No recent search.
core::web.no_removed_post,en,metafox/core,No removed posts.,No removed posts.
core::web.no_requests,en,metafox/core,No requests,No requests
core::web.no_requests_found,en,metafox/core,No requests are found.,No requests are found.
core::web.no_results,en,metafox/core,No results.,No results.
core::web.no_results_found,en,metafox/core,No results are found.,No results are found.
core::web.no_songs_found,en,metafox/core,No songs are found.,No songs are found.
core::web.not_attending,en,metafox/core,Not Attending,Not Attending
core::web.no_thanks,en,metafox/core,"No, Thanks.","No, Thanks."
core::web.nothing,en,metafox/core,Nothing,Nothing
core::web.notifications,en,metafox/core,Notifications,Notifications
core::web.no_user_found,en,metafox/core,No users are found.,No users are found.
core::web.now_playing,en,metafox/core,Now Playing,Now Playing
core::web.off,en,metafox/core,Off,Off
core::web.ok,en,metafox/core,OK,OK
core::web.on,en,metafox/core,On,On
core::web.ongoing,en,metafox/core,Ongoing,Ongoing
core::web.online_friends,en,metafox/core,Online Friends,Online Friends
core::web.only_me,en,metafox/core,Only Me,Only Me
core::web.oops,en,metafox/core,Oops!,Oops!
core::web.open,en,metafox/core,Open,Open
core::web.open_in_browser,en,metafox/core,Open in browser,Open in browser
core::web.open_link_in_new_window,en,metafox/core,Open link in new window,Open link in new window
core::web.open_settings,en,metafox/core,Open settings,Open settings
core::web.option_answer,en,metafox/core,Answer {value},Answer {value}
core::web.options,en,metafox/core,Options,Options
